;author;created_at;favorite_count;view_count;retweet_count;reply_count;full_text;keyword
66;BBCWorld;Tue Aug 27 02:18:06 +0000 2024;156;121859.0;74;112;Surging seas are coming for us all, warns UN chief https://t.co/VuGrnIiOwO;Surging,warns,chief,sea,coming
67;BBCWorld;Tue Aug 27 02:14:01 +0000 2024;222;117387.0;41;50;Texas judge blocks Biden plan for migrant spouses https://t.co/k4JeclFA18;Biden,Texas,spouse,judge,block,plan,migrant
68;BBCWorld;Tue Aug 27 02:02:04 +0000 2024;290;123122.0;44;29;Lake Tahoe in US sees first August snow in 20 years https://t.co/w542T0fBUl;year,Tahoe,August,Lake,snow
69;BBCWorld;Tue Aug 27 01:48:04 +0000 2024;87;112335.0;14;15;Ikea trials resale website to rival eBay and Gumtree https://t.co/MSnMOc6zr6;Gumtree,Ikea,trial,resale,website,rival,eBay
70;BBCWorld;Tue Aug 27 01:46:52 +0000 2024;471;146827.0;131;96;Canada to hit Chinese electric cars with 100% tariff https://t.co/0Fdxbwx0kv;tariff,Chinese,Canada,car,hit,electric
71;BBCWorld;Tue Aug 27 01:33:04 +0000 2024;94;114184.0;15;42;US lawmakers tour site of Trump assassination attempt https://t.co/X79pDmX72Y;Trump,attempt,lawmaker,tour,site,assassination
72;BBCWorld;Tue Aug 27 01:30:35 +0000 2024;109;109691.0;14;29;US soldier who fled to North Korea to plead guilty to desertion https://t.co/YGiY6CQYYG;North,Korea,desertion,soldier,fled,plead,guilty
73;BBCWorld;Tue Aug 27 01:10:24 +0000 2024;335;170540.0;83;61;Mariah Carey's mother and sister die on the same day https://t.co/wnjqnFyw2j;Carey,Mariah,day,mother,sister,die
74;BBCWorld;Tue Aug 27 00:58:27 +0000 2024;144;105634.0;43;24;Have Swiss scientists made a chocolate breakthrough? https://t.co/fSDwc9E8i7;Swiss,breakthrough,scientist,made,chocolate
75;BBCWorld;Tue Aug 27 00:50:32 +0000 2024;56;100401.0;12;27;‘I found out that my son had died on social media’ https://t.co/QKfxYoWkmR;medium,found,son,died,social
76;BBCWorld;Tue Aug 27 00:42:44 +0000 2024;84;113273.0;20;19;Heritage under attack: Ukrainians revive interest in culture https://t.co/jpSJps8i28;Ukrainians,Heritage,culture,attack,revive,interest
77;BBCWorld;Mon Aug 26 23:49:55 +0000 2024;180;107165.0;34;18;Former cop arrested for fatally shooting US airman https://t.co/bghbm3hwdK;airman,cop,arrested,fatally,shooting
78;BBCWorld;Mon Aug 26 23:18:01 +0000 2024;135;120614.0;31;55;Macron rules out leftist PM as crisis continues https://t.co/3LWjHl482b;Macron,continues,rule,leftist,crisis
79;BBCWorld;Mon Aug 26 21:04:19 +0000 2024;98;126950.0;22;20;Nostalgic Indians flock to cinemas to watch old hits https://t.co/YEt2kGUFtB;Indians,Nostalgic,hit,flock,cinema,watch
80;nytimes;Tue Aug 27 15:51:50 +0000 2024;0;1.0;4;0;RT @BellaKwai: What is it like to make a sprawling prequel that possibly be the most extravagant show of all time? I spoke to the show-runn…;time,showrunn,BellaKwai,make,sprawling,prequel,possibly,extravagant,show,spoke
81;nytimes;Tue Aug 27 15:42:34 +0000 2024;115;52224.0;34;85;Breaking News: Donald Trump plans to name his former rival, Robert F. Kennedy Jr., and Tulsi Gabbard, a onetime Democrat, as honorary co-chairs of his presidential transition team that will help him select policies and personnel. https://t.co/OuJnolA9RO https://t.co/tDNEg22UIM;Robert,Donald,Trump,Kennedy,Breaking,rival,Tulsi,Gabbard,Democrat,plan
82;nytimes;Tue Aug 27 15:30:20 +0000 2024;24;54455.0;4;15;From @TheAthleticFC: The Premier League's most miserable club has endured a torrid start to the new season — and things could get worse before they get better. https://t.co/eWt8sQL9a6;League,Premier,TheAthleticFC,miserable,club,endured,torrid,start,season,thing
83;nytimes;Tue Aug 27 15:15:08 +0000 2024;94;62219.0;19;22;In @nytopinion  Talking to 14 young, undecided voters, Patrick Healy heard from several that they were more likely to vote for Kamala Harris after her convention speech and her comments on abortion rights, gun violence, the economy and democracy. https://t.co/OftObnvSdJ;young,Talking,Patrick,Healy,Kamala,Harris,undecided,voter,gun,violence
84;nytimes;Tue Aug 27 15:00:23 +0000 2024;48;66750.0;18;24;Pavel Durov, the Russian-born entrepreneur who founded the Telegram messaging platform, was arrested in France, as part of an investigation by French prosecutors into criminal activities on the app. Here's what we know and what happens next. https://t.co/d7uxvLFIqZ;Durov,Russianborn,France,Telegram,French,Pavel,platform,arrested,part,app
85;nytimes;Tue Aug 27 14:55:02 +0000 2024;36;65478.0;16;18;Russia launched new missile and drone attacks on Kyiv and several other large Ukrainian cities on Tuesday, the second day of a deadly, far-reaching bombing campaign that comes as Moscow fights to fend off a Ukrainian offensive on Russian soil. https://t.co/HyAuSwLohZ;Tuesday,Ukrainian,Kyiv,Moscow,Russian,Russia,deadly,farreaching,soil,launched
86;nytimes;Tue Aug 27 14:45:05 +0000 2024;29;71098.0;16;8;Hezbollah and Israel appeared to de-escalate following a major confrontation over the weekend, tempering fears of a wider conflict in the Middle East. But for people across the region, any feelings of relief were undercut by a deeper sense of deadlock. https://t.co/HMcQcQvvSU;East,Israel,Middle,Hezbollah,weekend,tempering,region,feeling,deadlock,appeared
87;nytimes;Tue Aug 27 14:30:18 +0000 2024;34;79077.0;14;14;"From @TheAthletic: In Netflix’s ""Sign Stealer,"" former Michigan staffer Connor Stalions wants you to believe he’s a victim. He’s not, our columnist writes. He's an unreliable narrator who took the fall for the defending national champions. https://t.co/apJHPOfQHS";Netflixs,Sign,Stealer,he,Michigan,Connor,Stalions,victim,columnist,writes
88;nytimes;Tue Aug 27 14:20:04 +0000 2024;100;79454.0;20;24;The Israeli military said it rescued Farhan al-Qadi, a 52-year-old member of Israel's Bedouin Arab minority who was taken hostage while working as a kibbutz security guard during Hamas's Oct. 7 attacks. He's been hospitalized in stable condition. https://t.co/3m6SeHdSxu;attack,Israel,Hamas,Oct.,Israeli,Farhan,Bedouin,Arab,alQadi,member
89;nytimes;Tue Aug 27 14:15:05 +0000 2024;16;93965.0;9;7;From @TheAthletic: This baseball season is approaching its final month. And while great theater looms as division races are settled, August also provided great intrigue. We rank all 30 MLB clubs. https://t.co/wvlFVWAwiv;August,MLB,month,settled,intrigue,rank,club,great,TheAthletic,baseball
90;nytimes;Tue Aug 27 14:00:10 +0000 2024;37;74529.0;12;14;"Despondent over the sale of the Long Island home where he lived with his mother, Joseph DeLucia shot and killed his three siblings, a niece and himself, leaving ""one of the most horrific scenes I have ever seen,"" the Nassau County Police commissioner said. https://t.co/gfuOAw24z4";niece,leaving,Joseph,Nassau,Long,Island,County,Police,Despondent,mother
91;nytimes;Tue Aug 27 13:20:04 +0000 2024;96;90887.0;22;25;Mariah Carey’s mother and sister died on the same day over the weekend, the pop star said. Carey, who has spoken and written extensively about her complicated relationship with her family, said the deaths had led to an “impossible time.” https://t.co/IAXztjdJGo;Mariah,weekend,pop,spoken,family,time,Careys,Carey,mother,sister
92;nytimes;Tue Aug 27 13:10:07 +0000 2024;26;95293.0;20;20;Strands is a word search with a unique twist. Can you uncover the theme? Play here: https://t.co/xZBJR8ExvO https://t.co/Mf38ePENWv;Play,Strands,twist,theme,word,search,unique,uncover
93;nytimes;Tue Aug 27 12:49:06 +0000 2024;116;97165.0;35;19;Breaking News: Israeli forces rescued a man taken hostage in the Hamas-led attacks on Oct. 7 during an operation in the Gaza Strip, the Israeli military said on Tuesday. Follow live. https://t.co/dovSSD6NWp;Oct.,Strip,Tuesday,Follow,Israeli,Hamasled,Gaza,Breaking,operation,live
94;nytimes;Tue Aug 27 12:45:10 +0000 2024;184;113794.0;44;23;From @TheAthletic: Colorado coach Deion Sanders partnered with a bank to open saving accounts for his players who have children. The gift of $2,121 each, a nod to Sanders’ signature number, was part of a presentation on the value of saving money over time. https://t.co/OLOn0RKTuJ;Sanders,Colorado,Deion,child,gift,nod,number,part,time,saving
95;nytimes;Tue Aug 27 12:30:06 +0000 2024;50;94438.0;24;16;"""When you drive into a ruined town, it’s like hopelessness."" Russia’s powerful ""glide bombs"" can topple buildings. The New York Times visited Ukrainian troops trying to hold positions under the bombardment. https://t.co/FYZ0hoU85h";Russias,York,Times,Ukrainian,town,hopelessness,powerful,glide,building,bombardment
96;nytimes;Tue Aug 27 12:15:08 +0000 2024;58;104142.0;23;19;"Videos of cheerleaders for a Korean baseball team performing an ultra-chill dance routine have taken over social media. The moves are repetitive and unassuming; the song, addictively catchy (beware). It’s a perfect recipe for flooding the algorithms. https://t.co/CWoKCCvYDx";Korean,Videos,medium,song,addictively,beware,algorithm,cheerleader,baseball,team
97;nytimes;Tue Aug 27 12:00:24 +0000 2024;30;103911.0;12;11;How did you do in Connections today? Players must select four groups of four words without making more than three mistakes. https://t.co/vcH5eCF80i https://t.co/D8VAAVXWb0;Players,Connections,today,mistake,select,group,word,making
98;nytimes;Tue Aug 27 11:40:06 +0000 2024;64;123368.0;23;18;From @TheAthletic: America’s oldest ballpark had not witnessed anything like what happened on Monday afternoon when Danny Jansen played for both teams in one game. https://t.co/0EvVwhtSwt;Americas,Monday,Danny,Jansen,game,TheAthletic,oldest,ballpark,witnessed,happened
