what,who,where,when
"announced, Justin",,,2020-12-14 18:52:57
"Trudeau, PM, Justin",,,2020-12-14 18:52:57
"PM, Canadian, Justin",,,2020-12-14 18:52:57
"Trudeau, PM, Canadian",,,2020-12-14 18:52:57
"PM, Canadian",,,2020-12-14 18:52:57
"Lindsay, Sandra, said",,,2020-12-14 21:11:19
"nurse, said, Lindsay",,,2020-12-14 21:11:19
"Sandra, ICU",,,2020-12-14 21:11:19
"Sandra, nurse, ICU",,,2020-12-14 21:11:19
"Sandra, nurse, ICU",,,2020-12-14 21:11:19
"article, tech, Vaccine, Works, Untested, n",,,2020-07-25 12:24:38
"tech, Vaccine, Works",,,2020-12-12 15:59:32
"n, Vaccine, Works",,,2020-07-25 12:24:38
"tech, Works, Untested",,,2020-12-12 15:59:32
"Vaccine, Untested, n",,,2020-07-25 12:24:38
"Untested, n",,,2020-07-25 12:24:38
Concerned,,,2020-12-14 22:55:26
"learn, Surprised",,,2020-12-14 19:59:11
"learn, Surprised",,,2020-12-14 19:59:11
"Building, last",,,2020-12-14 23:14:56
"Building, last",,,2020-12-14 23:14:56
"2, Screenshot",,,2020-07-25 12:25:28
"2, Screenshot",,,2020-07-25 12:25:28
"Unfortunately, exchange, Hansard",,,2020-12-14 21:02:21
"Unfortunately, exchange, Hansard",,,2020-12-14 21:02:21
"p, Unfortunately, exchange, Hansard",,,2020-07-25 12:24:38
"Unfortunately, p, Hansard",,,2020-07-25 12:24:38
"passports, Two, Part",,,2020-12-12 15:59:32
"passports, Two, Part",,,2020-12-12 15:59:32
"passports, Two, Part, immunity",,,2020-12-12 15:59:32
"Two, Part, immunity",,,2020-12-12 15:59:32
"4s, KFDMsFOX",,,2020-12-14 19:05:26
"4s, KFDMsFOX",,,2020-12-14 19:05:26
"getting, hospital, Baptist",,,2020-12-14 19:05:26
"getting, hospital, Baptist",,,2020-12-14 19:05:26
"getting, Baptist, hospital",,,2020-12-14 19:05:26
"pfizer, Toronto, bio, Anita, Quidangen, PSW, later",,,2020-12-12 15:59:32
"pfizer, Toronto, bio, Anita, Quidangen, PSW, later",,,2020-12-12 15:59:32
"pfizer, Toronto, Quidangen",,,2020-12-12 15:59:32
"Toronto, Anita, Quidangen",,,2020-12-14 20:15:05
"PSW, Anita, Quidangen",,,2020-12-14 20:15:05
"pfizer, Toronto, PSW, Anita, Quidangen, bio, later",,,2020-12-12 15:59:32
"later, PSW, Quidangen",,,2020-12-14 20:15:05
"Ive, never",,,2020-12-14 23:48:04
"Ive, never",,,2020-12-14 23:48:04
